"","REALRINC","SIBS","AGE","HAPPY","HEALTH","YOUNGEN"
"11969",24547,4,35,3,3,1
"11973",24547,13,51,2,4,1
"11974",24547,8,60,2,2,1
"11975",755,1,37,1,2,1
"11976",13595,2,62,2,2,1
"11977",8308,2,22,1,2,2
"11979",139297,7,57,1,2,1
"11981",32100,3,32,2,1,1
"11982",8308,2,28,1,1,2
"11983",52510.1445,7,31,2,3,1
"11985",9819,9,50,2,2,2
"11987",56647,4,45,2,3,2
"11988",24547,1,46,1,2,2
"11990",13595,2,29,2,1,1
"11992",11329,8,32,2,2,1
"11993",16994,6,25,1,1,1
"11994",24547,1,35,1,1,2
"11995",28323,7,31,2,2,1
"11998",8308,3,22,1,2,2
"11999",16994,5,27,2,2,2
"12002",3021,7,73,1,1,1
